iter	Passed	Remaining
402	12688	302160
403	12721	302177
404	12753	302149
405	12786	302141
406	12816	302095
407	12850	302120
408	12881	302071
409	12908	301942
410	12941	301945
411	12972	301897
412	13006	301927
413	13039	301924
414	13068	301824
415	13100	301814
416	13131	301777
417	13166	301826
418	13200	301851
419	13231	301806
420	13259	301694
421	13291	301671
422	13325	301698
423	13358	301701
424	13392	301729
425	13425	301738
426	13460	301774
427	13492	301749
428	13525	301755
429	13573	302096
430	13609	302159
431	13642	302162
432	13677	302207
433	13714	302277
434	13750	302356
435	13786	302412
436	13823	302503
437	13860	302588
438	13893	302580
439	13928	302622
440	13962	302655
441	13995	302644
442	14028	302636
443	14050	302391
444	14083	302389
445	14118	302446
446	14152	302466
447	14187	302497
448	14222	302542
449	14256	302553
450	14289	302553
451	14324	302597
452	14364	302726
453	14399	302762
454	14433	302785
455	14467	302810
456	14501	302824
457	14533	302789
458	14564	302755
459	14595	302706
460	14631	302753
461	14667	302812
462	14701	302834
463	14736	302865
464	14769	302859
465	14802	302839
466	14834	302814
467	14869	302860
468	14906	302929
469	14935	302846
470	14969	302860
471	15003	302867
472	15036	302867
473	15071	302893
474	15103	302869
475	15138	302893
476	15171	302896
477	15208	302954
478	15241	302953
479	15275	302968
480	15311	303009
481	15347	303057
482	15384	303126
483	15420	303184
484	15456	303235
485	15490	303243
486	15524	303247
487	15555	303198
488	15589	303209
489	15624	303251
490	15659	303280
491	15695	303320
492	15729	303333
493	15765	303370
494	15801	303416
495	15835	303424
496	15868	303412
497	15903	303446
498	15938	303464
499	15974	303512
500	16007	303509
501	16041	303514
502	16072	303455
503	16105	303453
504	16140	303464
505	16177	303526
506	16212	303554
507	16246	303563
508	16283	303624
509	16321	303707
510	16358	303775
511	16392	303778
512	16427	303797
513	16461	303809
514	16497	303851
515	16533	303888
516	16567	303895
517	16603	303921
518	16636	303916
519	16668	303881
520	16701	303856
521	16735	303868
522	16771	303900
523	16805	303909
524	16838	303888
525	16870	303860
526	16903	303849
527	16937	303844
528	16970	303831
529	17005	303860
530	17040	303870
531	17074	303880
532	17109	303886
533	17141	303866
534	17174	303849
535	17207	303835
536	17241	303831
537	17273	303802
538	17307	303799
539	17342	303816
540	17378	303848
541	17411	303840
542	17446	303853
543	17480	303854
544	17512	303814
545	17546	303820
546	17580	303811
547	17611	303766
548	17645	303769
549	17678	303751
550	17714	303787
551	17749	303791
552	17782	303775
553	17815	303768
554	17850	303782
555	17885	303792
556	17920	303818
557	17953	303789
558	17987	303788
559	18020	303765
560	18055	303785
561	18089	303791
562	18122	303777
563	18156	303771
564	18190	303763
565	18224	303757
566	18257	303742
567	18291	303745
568	18323	303711
569	18363	303799
570	18398	303824
571	18431	303799
572	18465	303786
573	18497	303762
574	18531	303761
575	18566	303767
576	18599	303755
577	18634	303765
578	18668	303755
579	18702	303759
580	18736	303746
581	18769	303729
582	18802	303709
583	18837	303723
584	18874	303766
585	18909	303785
586	18945	303811
587	18988	303951
588	19023	303950
589	19054	303907
590	19087	303874
591	19121	303877
592	19155	303863
593	19190	303885
594	19227	303917
595	19261	303916
596	19294	303896
597	19329	303911
598	19364	303916
599	19398	303908
600	19430	303874
601	19466	303900
602	19498	303858
603	19534	303884
604	19567	303856
605	19602	303871
606	19636	303866
607	19673	303899
608	19707	303901
609	19740	303874
610	19773	303854
611	19805	303817
612	19839	303813
613	19874	303807
614	19909	303828
615	19944	303825
616	19980	303846
617	20018	303911
618	20054	303922
619	20088	303924
620	20123	303926
621	20158	303925
622	20191	303902
623	20225	303908
624	20259	303888
625	20294	303893
626	20328	303895
627	20367	303950
628	20401	303940
629	20434	303928
630	20467	303902
631	20500	303880
632	20534	303863
633	20567	303844
634	20602	303845
635	20636	303836
636	20670	303826
637	20704	303818
638	20738	303801
639	20771	303781
640	20804	303756
641	20837	303735
642	20866	303658
643	20902	303676
644	20937	303675
645	20970	303645
646	21005	303660
647	21043	303695
648	21076	303674
649	21112	303694
650	21143	303646
651	21176	303614
652	21210	303604
653	21243	303585
654	21278	303580
655	21313	303589
656	21350	303625
657	21385	303618
658	21420	303625
659	21456	303640
660	21489	303620
661	21525	303635
662	21554	303548
663	21588	303540
664	21622	303527
665	21655	303499
666	21689	303496
667	21722	303467
668	21755	303445
669	21789	303427
670	21822	303401
671	21860	303450
672	21892	303410
673	21927	303402
674	21963	303422
675	21993	303357
676	22021	303256
677	22053	303217
678	22088	303216
679	22122	303212
680	22156	303191
681	22189	303176
682	22223	303160
683	22259	303168
684	22292	303143
685	22329	303167
686	22363	303162
687	22396	303131
688	22429	303104
689	22463	303088
690	22495	303061
691	22527	303014
692	22560	302993
693	22595	302992
694	22628	302956
695	22661	302930
696	22693	302893
