iter	RMSE
262	0.5389156087
263	0.5388861713
264	0.5388548564
265	0.5388349188
266	0.5388289645
267	0.5388185657
268	0.5388066132
269	0.5387955675
270	0.5387745574
271	0.5387581304
272	0.538748085
273	0.5387263034
274	0.5387170866
275	0.5387119258
276	0.5386772807
277	0.5386716817
278	0.5386569244
279	0.538649357
280	0.5386472488
281	0.5386415611
282	0.5386184929
283	0.5386073326
284	0.5385963921
285	0.5385903842
286	0.5385745793
287	0.5385703709
288	0.5385591853
289	0.5385452818
290	0.5385407276
291	0.5385319424
292	0.5385045218
293	0.5384958124
294	0.5384902364
295	0.5384791082
296	0.5384704887
297	0.5384631655
298	0.5384586274
299	0.5384390935
300	0.5384313813
301	0.5384111243
302	0.5384022472
303	0.5383896366
304	0.5383837514
305	0.5383615546
306	0.5383513794
307	0.5383455632
308	0.538335387
309	0.53832928
310	0.53831605
311	0.538306221
312	0.5382862218
313	0.5382780678
314	0.5382654094
315	0.538246639
316	0.5382357167
317	0.5382299647
318	0.5382237592
319	0.5382181596
320	0.5382157022
321	0.538194113
322	0.5381833656
323	0.5381699848
324	0.5381619737
325	0.5381578218
326	0.5381525183
327	0.5381482454
328	0.538120174
329	0.538107609
330	0.5380985778
331	0.5380899633
332	0.5380775532
333	0.5380696748
334	0.5380609225
335	0.5380579793
336	0.5380449747
337	0.5380355553
338	0.5380111966
339	0.5380007347
340	0.5379956783
341	0.5379917545
342	0.5379890956
343	0.5379724059
344	0.537963396
345	0.5379495892
346	0.5379419455
347	0.5379281403
348	0.5379094411
349	0.5379047289
350	0.5379016135
351	0.5378924631
352	0.5378865456
353	0.5378848132
354	0.5378732109
355	0.5378689817
356	0.5378627591
357	0.5378551282
358	0.5378372848
359	0.5378211848
360	0.5378121002
361	0.5378071109
362	0.5378033198
363	0.5378024884
364	0.5377820636
365	0.5377749002
366	0.5377691591
367	0.537751921
368	0.537738155
369	0.5377337795
370	0.5377274669
371	0.5377181935
372	0.5377007688
373	0.5376992799
374	0.5376980456
375	0.5376915173
376	0.5376793872
377	0.5376780737
378	0.5376637859
379	0.537644805
380	0.5376383808
381	0.5376327593
382	0.5376180841
383	0.5376085717
384	0.5376000507
385	0.5375907449
386	0.5375807699
387	0.5375730247
388	0.5375694222
389	0.5375400002
390	0.5375339166
391	0.5375190474
392	0.5375170989
393	0.5375082283
394	0.5375014753
395	0.5375001993
396	0.537484189
397	0.537469723
398	0.5374652838
399	0.5374522352
400	0.5374305425
401	0.5374252872
402	0.5374058269
403	0.5373965948
404	0.5373890257
405	0.5373840592
406	0.5373758786
407	0.5373683738
408	0.5373560302
409	0.5373541092
410	0.5373488343
411	0.5373385818
412	0.5373323623
413	0.5373193928
414	0.5373180655
415	0.5373040938
416	0.5372892564
417	0.5372857556
418	0.5372732124
419	0.5372641756
420	0.5372586539
421	0.5372508162
422	0.5372311699
423	0.5372177242
424	0.5372010662
425	0.5371915715
426	0.5371726747
427	0.5371697375
428	0.5371533592
429	0.5371366297
430	0.5371315461
431	0.5371229524
432	0.5371023055
433	0.5370930684
434	0.5370795242
435	0.537073991
436	0.5370605623
437	0.5370463644
438	0.5370306918
439	0.5370233914
440	0.5370031113
441	0.536996263
442	0.5369860672
443	0.536985283
444	0.5369764332
445	0.5369690461
446	0.5369587677
447	0.5369486082
448	0.5369353309
449	0.5369200712
450	0.5369132961
451	0.5369045045
452	0.5368837122
453	0.5368748346
454	0.5368618499
455	0.5368478011
456	0.5368408175
457	0.536835118
458	0.5368269783
459	0.5368219713
460	0.536800022
461	0.5367851923
462	0.536780944
463	0.5367646791
464	0.5367431325
465	0.5367274783
466	0.5367074013
467	0.5366852706
468	0.5366767912
469	0.536673426
470	0.5366568576
471	0.5366422994
472	0.536618676
473	0.5366088119
474	0.5365982734
475	0.5365813835
476	0.5365764965
477	0.5365646002
478	0.5365490644
479	0.5365444959
480	0.5365327636
481	0.5365183557
482	0.5365084974
483	0.5365009417
484	0.5364974661
485	0.5364841499
486	0.5364765489
487	0.5364662772
488	0.5364516216
489	0.5364380453
490	0.5364268913
491	0.5364189207
492	0.5364015327
493	0.5363991152
494	0.5363948746
495	0.536383985
496	0.5363693755
497	0.5363520177
498	0.5363378424
499	0.5363317333
500	0.5363205595
501	0.5363136985
502	0.5363091289
503	0.5362980964
504	0.5362896083
505	0.5362823465
506	0.5362681422
507	0.5362541241
508	0.5362453838
509	0.5362317842
510	0.5362221031
511	0.5362013671
512	0.5361909801
513	0.5361822634
514	0.536172217
515	0.5361593404
516	0.5361437794
517	0.5361333001
518	0.5361225578
519	0.5361107298
520	0.536105596
521	0.5360902213
522	0.5360765331
523	0.5360688164
524	0.5360568361
525	0.5360369346
526	0.5360210037
527	0.5359939136
528	0.5359762581
529	0.53596703
530	0.5359484289
531	0.5359375256
532	0.5359317164
533	0.5359092159
534	0.5359016594
535	0.5358943974
536	0.5358829583
537	0.5358733887
538	0.5358598981
539	0.5358492007
540	0.5358420505
541	0.5358297781
542	0.5358159098
543	0.5358053961
544	0.5357986956
545	0.535777273
546	0.5357635747
547	0.5357430935
548	0.5357266597
549	0.5357226749
550	0.5357090841
551	0.5356916931
552	0.5356889106
553	0.5356769298
554	0.5356625761
555	0.535644229
556	0.5356334665
557	0.5356250178
558	0.5355994752
559	0.5355734745
560	0.5355665079
561	0.5355562282
562	0.5355366268
563	0.5355307071
564	0.5354968429
565	0.5354875883
566	0.5354723947
567	0.5354568996
568	0.5354445285
569	0.5354317998
570	0.5354180131
571	0.5354085865
572	0.535390725
573	0.5353742821
574	0.5353591041
575	0.5353508384
576	0.535341923
577	0.5353307887
578	0.5353106782
579	0.5352984239
580	0.5352846008
581	0.5352803831
582	0.5352712803
583	0.5352627743
584	0.5352442249
585	0.5352273121
586	0.5352116044
587	0.535196045
588	0.5351858603
589	0.5351768028
590	0.535162408
591	0.535148338
592	0.5351368285
593	0.5351239668
594	0.535115685
595	0.5351020935
596	0.5350847109
597	0.5350704537
598	0.5350614603
599	0.5350382752
600	0.5350260172
601	0.5350079562
602	0.5349930432
603	0.5349842324
604	0.5349825762
605	0.5349726314
606	0.5349517153
607	0.5349479223
608	0.5349406085
609	0.5349289995
610	0.5349161554
611	0.5349133427
612	0.5349021
613	0.5348797179
614	0.5348657067
615	0.5348613303
616	0.534849555
617	0.5348409273
618	0.534831134
619	0.5348255749
620	0.5348114095
621	0.5348013244
622	0.5347885304
623	0.5347740452
624	0.5347610461
625	0.5347499445
626	0.5347424808
627	0.534722884
628	0.5347065068
629	0.534697401
630	0.534682769
631	0.5346757831
632	0.5346575615
633	0.5346410677
634	0.534630285
635	0.5346120103
636	0.5346057112
637	0.5345986081
638	0.5345769142
639	0.5345595518
640	0.5345489216
641	0.5345451662
642	0.5345433059
643	0.5345208345
644	0.5345108954
645	0.534508018
646	0.534490005
647	0.5344741051
648	0.5344645084
649	0.5344583119
650	0.5344414168
651	0.5344234621
652	0.5344149331
653	0.5343978165
654	0.5343831737
655	0.5343707479
656	0.5343623695
657	0.5343436001
658	0.5343348954
659	0.5343263055
660	0.5343054018
661	0.5342969391
662	0.5342910886
663	0.5342828762
664	0.5342764827
665	0.5342691206
666	0.5342416445
667	0.5342263005
668	0.5342087864
669	0.5341871375
670	0.5341701952
671	0.5341615748
672	0.5341583001
673	0.5341499831
674	0.534126132
675	0.5341144205
676	0.5341124523
677	0.5340904039
678	0.53408453
679	0.534063644
680	0.5340579216
681	0.5340441715
682	0.5340375815
683	0.5340143541
684	0.5340067454
685	0.5339953641
686	0.5339841453
687	0.5339702692
688	0.5339574211
689	0.5339378478
690	0.5339227529
691	0.5339153927
692	0.5339047683
693	0.5338909747
694	0.5338848861
695	0.5338641315
696	0.5338585997
